seed_model,group,seed_ablation,noise_level,acc_t1,acc_t2,acc_t3,gain,ece,r_norm,delta_norm
0,C2_datamatched,100,1.0,0.415,0.4,0.41,-0.0050000000000000044,0.028928630630762158,1.3084554253061629,0.5664574347634496
1,C2_datamatched,101,1.0,0.545,0.48,0.45,-0.09500000000000003,0.10132749466651333,1.5787484339290239,0.8884188370986892
2,C2_datamatched,102,1.0,0.365,0.39,0.39,0.025000000000000022,0.11620196000129576,1.5406653080285155,0.6535599238504486
3,C2_datamatched,103,1.0,0.305,0.315,0.28,-0.024999999999999967,0.11985733341240999,1.6067568265599297,0.5424232762008326
4,C2_datamatched,104,1.0,0.44,0.395,0.405,-0.034999999999999976,0.06591458627722821,1.8372760262224017,0.7330763785091086
5,C2_datamatched,105,1.0,0.385,0.435,0.415,0.02999999999999997,0.0939640846780109,1.801316591448782,0.593230713214866
6,C2_datamatched,106,1.0,0.405,0.35,0.38,-0.025000000000000022,0.07112893163143799,1.5945816110436737,0.31166770438484753
7,C2_datamatched,107,1.0,0.425,0.37,0.39,-0.034999999999999976,0.053469426048573646,1.637419858307836,0.3980347224342991
8,C2_datamatched,108,1.0,0.36,0.32,0.35,-0.010000000000000009,0.08580458790760857,1.3391964528552558,0.5226072704834113
9,C2_datamatched,109,1.0,0.405,0.375,0.395,-0.010000000000000009,0.10077946911012846,1.8936892568146653,0.5750991150846878
0,C2_datamatched,100,0.3,0.93,0.81,0.845,-0.08500000000000008,0.27921589810831815,2.071478716730727,1.4086767522556256
1,C2_datamatched,101,0.3,0.855,0.83,0.93,0.07500000000000007,0.17127595062862466,1.798857532822788,1.7651550175498978
2,C2_datamatched,102,0.3,0.795,0.91,0.94,0.1449999999999999,0.20744011598815507,1.9129468707726431,1.2951650651355118
3,C2_datamatched,103,0.3,0.77,0.555,0.475,-0.29500000000000004,0.2729706727956087,3.0285199529302322,1.7457362774379306
4,C2_datamatched,104,0.3,0.875,0.765,0.72,-0.15500000000000003,0.0436966677222433,1.7240625446085034,1.0694032884996272
5,C2_datamatched,105,0.3,0.85,0.895,0.91,0.06000000000000005,0.22241314838264561,2.41083134948434,1.025709705453016
6,C2_datamatched,106,0.3,0.785,0.755,0.75,-0.03500000000000003,0.2431487781303874,2.268318622894854,1.0359289017431539
7,C2_datamatched,107,0.3,0.88,0.825,0.735,-0.14500000000000002,0.23055784423303005,2.1220545867675025,1.1885071477883502
8,C2_datamatched,108,0.3,0.765,0.635,0.785,0.020000000000000018,0.18935938514680115,1.92270417404818,1.188292170400067
9,C2_datamatched,109,0.3,0.88,0.71,0.7,-0.18000000000000005,0.061979225372684174,3.290319338731715,1.526204494807074
0,C2_datamatched,100,0.7,0.525,0.52,0.53,0.0050000000000000044,0.06798651742937442,1.4145940177418066,0.7722553234897893
1,C2_datamatched,101,0.7,0.64,0.575,0.595,-0.04500000000000004,0.05946742708608653,1.703513048247479,1.1375237945527004
2,C2_datamatched,102,0.7,0.495,0.55,0.585,0.08999999999999997,0.07518620253362997,1.626282596747419,0.800114400061857
