target_seed,donor_seed,acc_t1,acc_t3,gain
0,100,0.765000,0.690000,-0.075000
0,101,0.765000,0.625000,-0.140000
0,102,0.765000,0.730000,-0.035000
0,103,0.765000,0.695000,-0.070000
0,104,0.765000,0.740000,-0.025000
0,105,0.765000,0.495000,-0.270000
0,106,0.765000,0.590000,-0.175000
0,107,0.765000,0.755000,-0.010000
0,108,0.765000,0.610000,-0.155000
0,109,0.765000,0.615000,-0.150000
1,100,0.730000,0.770000,0.040000
1,101,0.730000,0.770000,0.040000
1,102,0.730000,0.575000,-0.155000
1,103,0.730000,0.645000,-0.085000
1,104,0.730000,0.700000,-0.030000
1,105,0.730000,0.705000,-0.025000
1,106,0.730000,0.835000,0.105000
1,107,0.730000,0.550000,-0.180000
1,108,0.730000,0.720000,-0.010000
1,109,0.730000,0.600000,-0.130000
2,100,0.670000,0.710000,0.040000
2,101,0.670000,0.740000,0.070000
2,102,0.670000,0.845000,0.175000
2,103,0.670000,0.655000,-0.015000
2,104,0.670000,0.675000,0.005000
2,105,0.670000,0.370000,-0.300000
2,106,0.670000,0.750000,0.080000
2,107,0.670000,0.615000,-0.055000
2,108,0.670000,0.695000,0.025000
2,109,0.670000,0.740000,0.070000
3,100,0.625000,0.585000,-0.040000
3,101,0.625000,0.615000,-0.010000
3,102,0.625000,0.605000,-0.020000
3,103,0.625000,0.555000,-0.070000
3,104,0.625000,0.590000,-0.035000
3,105,0.625000,0.580000,-0.045000
3,106,0.625000,0.450000,-0.175000
3,107,0.625000,0.665000,0.040000
3,108,0.625000,0.555000,-0.070000
3,109,0.625000,0.630000,0.005000
4,100,0.760000,0.620000,-0.140000
4,101,0.760000,0.750000,-0.010000
4,102,0.760000,0.615000,-0.145000
4,103,0.760000,0.600000,-0.160000
4,104,0.760000,0.660000,-0.100000
4,105,0.760000,0.745000,-0.015000
4,106,0.760000,0.605000,-0.155000
4,107,0.760000,0.730000,-0.030000
4,108,0.760000,0.790000,0.030000
4,109,0.760000,0.350000,-0.410000
5,100,0.750000,0.885000,0.135000
5,101,0.750000,0.725000,-0.025000
5,102,0.750000,0.805000,0.055000
5,103,0.750000,0.810000,0.060000
5,104,0.750000,0.665000,-0.085000
5,105,0.750000,0.830000,0.080000
5,106,0.750000,0.710000,-0.040000
5,107,0.750000,0.700000,-0.050000
5,108,0.750000,0.820000,0.070000
5,109,0.750000,0.750000,0.000000
6,100,0.565000,0.515000,-0.050000
6,101,0.565000,0.590000,0.025000
6,102,0.565000,0.490000,-0.075000
6,103,0.565000,0.510000,-0.055000
6,104,0.565000,0.525000,-0.040000
6,105,0.565000,0.355000,-0.210000
6,106,0.565000,0.460000,-0.105000
6,107,0.565000,0.540000,-0.025000
6,108,0.565000,0.570000,0.005000
6,109,0.565000,0.440000,-0.125000
7,100,0.740000,0.815000,0.075000
7,101,0.740000,0.770000,0.030000
7,102,0.740000,0.785000,0.045000
7,103,0.740000,0.730000,-0.010000
7,104,0.740000,0.695000,-0.045000
7,105,0.740000,0.615000,-0.125000
7,106,0.740000,0.820000,0.080000
7,107,0.740000,0.620000,-0.120000
7,108,0.740000,0.740000,0.000000
7,109,0.740000,0.625000,-0.115000
8,100,0.610000,0.450000,-0.160000
8,101,0.610000,0.590000,-0.020000
8,102,0.610000,0.495000,-0.115000
8,103,0.610000,0.495000,-0.115000
8,104,0.610000,0.625000,0.015000
8,105,0.610000,0.480000,-0.130000
8,106,0.610000,0.510000,-0.100000
8,107,0.610000,0.535000,-0.075000
8,108,0.610000,0.540000,-0.070000
8,109,0.610000,0.375000,-0.235000
9,100,0.730000,0.835000,0.105000
9,101,0.730000,0.740000,0.010000
9,102,0.730000,0.795000,0.065000
9,103,0.730000,0.815000,0.085000
9,104,0.730000,0.770000,0.040000
9,105,0.730000,0.675000,-0.055000
9,106,0.730000,0.715000,-0.015000
9,107,0.730000,0.815000,0.085000
9,108,0.730000,0.765000,0.035000
9,109,0.730000,0.705000,-0.025000
