hidden_width,seed,condition,acc_t1,acc_t3,gain
10,0,baseline,0.735000,0.775000,0.040000
10,0,group_a,0.735000,0.735000,0.000000
10,0,group_c1,0.735000,0.649500,-0.085500
10,0,group_c2,0.735000,0.735000,0.000000
10,1,baseline,0.670000,0.810000,0.140000
10,1,group_a,0.670000,0.670000,0.000000
10,1,group_c1,0.670000,0.593000,-0.077000
10,1,group_c2,0.670000,0.700000,0.030000
10,2,baseline,0.675000,0.750000,0.075000
10,2,group_a,0.675000,0.675000,0.000000
10,2,group_c1,0.675000,0.611167,-0.063833
10,2,group_c2,0.675000,0.725000,0.050000
10,3,baseline,0.685000,0.725000,0.040000
10,3,group_a,0.685000,0.685000,0.000000
10,3,group_c1,0.685000,0.624167,-0.060833
10,3,group_c2,0.685000,0.510000,-0.175000
10,4,baseline,0.710000,0.780000,0.070000
10,4,group_a,0.710000,0.710000,0.000000
10,4,group_c1,0.710000,0.670500,-0.039500
10,4,group_c2,0.710000,0.610000,-0.100000
10,5,baseline,0.705000,0.680000,-0.025000
10,5,group_a,0.705000,0.705000,0.000000
10,5,group_c1,0.705000,0.649833,-0.055167
10,5,group_c2,0.705000,0.695000,-0.010000
10,6,baseline,0.570000,0.570000,0.000000
10,6,group_a,0.570000,0.570000,0.000000
10,6,group_c1,0.570000,0.547333,-0.022667
10,6,group_c2,0.570000,0.550000,-0.020000
10,7,baseline,0.695000,0.735000,0.040000
10,7,group_a,0.695000,0.695000,0.000000
10,7,group_c1,0.695000,0.626833,-0.068167
10,7,group_c2,0.695000,0.660000,-0.035000
10,8,baseline,0.575000,0.670000,0.095000
10,8,group_a,0.575000,0.575000,0.000000
10,8,group_c1,0.575000,0.631000,0.056000
10,8,group_c2,0.575000,0.600000,0.025000
10,9,baseline,0.685000,0.740000,0.055000
10,9,group_a,0.685000,0.685000,0.000000
10,9,group_c1,0.685000,0.664667,-0.020333
10,9,group_c2,0.685000,0.625000,-0.060000
20,0,baseline,0.680000,0.760000,0.080000
20,0,group_a,0.680000,0.680000,0.000000
20,0,group_c1,0.680000,0.560167,-0.119833
20,0,group_c2,0.680000,0.535000,-0.145000
20,1,baseline,0.745000,0.765000,0.020000
20,1,group_a,0.745000,0.745000,0.000000
20,1,group_c1,0.745000,0.610500,-0.134500
20,1,group_c2,0.745000,0.650000,-0.095000
20,2,baseline,0.755000,0.795000,0.040000
20,2,group_a,0.755000,0.755000,0.000000
20,2,group_c1,0.755000,0.686333,-0.068667
20,2,group_c2,0.755000,0.610000,-0.145000
20,3,baseline,0.740000,0.860000,0.120000
20,3,group_a,0.740000,0.740000,0.000000
20,3,group_c1,0.740000,0.664833,-0.075167
20,3,group_c2,0.740000,0.725000,-0.015000
20,4,baseline,0.810000,0.810000,0.000000
20,4,group_a,0.810000,0.810000,0.000000
20,4,group_c1,0.810000,0.723500,-0.086500
