hidden_width,seed,condition,acc_t1,acc_t3,gain
10,0,baseline,0.765000,0.835000,0.070000
10,0,group_a,0.765000,0.775000,0.010000
10,0,group_c1,0.765000,0.626167,-0.138833
10,0,group_c2,0.765000,0.690000,-0.075000
10,1,baseline,0.730000,0.895000,0.165000
10,1,group_a,0.730000,0.770000,0.040000
10,1,group_c1,0.730000,0.568833,-0.161167
10,1,group_c2,0.730000,0.770000,0.040000
10,2,baseline,0.670000,0.920000,0.250000
10,2,group_a,0.670000,0.630000,-0.040000
10,2,group_c1,0.670000,0.598500,-0.071500
10,2,group_c2,0.670000,0.845000,0.175000
10,3,baseline,0.625000,0.740000,0.115000
10,3,group_a,0.625000,0.610000,-0.015000
10,3,group_c1,0.625000,0.563667,-0.061333
10,3,group_c2,0.625000,0.555000,-0.070000
10,4,baseline,0.760000,0.870000,0.110000
10,4,group_a,0.760000,0.760000,0.000000
10,4,group_c1,0.760000,0.728667,-0.031333
10,4,group_c2,0.760000,0.660000,-0.100000
10,5,baseline,0.750000,0.890000,0.140000
10,5,group_a,0.750000,0.740000,-0.010000
10,5,group_c1,0.750000,0.627333,-0.122667
10,5,group_c2,0.750000,0.830000,0.080000
10,6,baseline,0.565000,0.660000,0.095000
10,6,group_a,0.565000,0.550000,-0.015000
10,6,group_c1,0.565000,0.517500,-0.047500
10,6,group_c2,0.565000,0.460000,-0.105000
10,7,baseline,0.740000,0.860000,0.120000
10,7,group_a,0.740000,0.745000,0.005000
10,7,group_c1,0.740000,0.604167,-0.135833
10,7,group_c2,0.740000,0.620000,-0.120000
10,8,baseline,0.610000,0.795000,0.185000
10,8,group_a,0.610000,0.600000,-0.010000
10,8,group_c1,0.610000,0.694000,0.084000
10,8,group_c2,0.610000,0.540000,-0.070000
10,9,baseline,0.730000,0.940000,0.210000
10,9,group_a,0.730000,0.725000,-0.005000
10,9,group_c1,0.730000,0.684167,-0.045833
10,9,group_c2,0.730000,0.705000,-0.025000
20,0,baseline,0.745000,0.900000,0.155000
20,0,group_a,0.745000,0.660000,-0.085000
20,0,group_c1,0.745000,0.536000,-0.209000
20,0,group_c2,0.745000,0.650000,-0.095000
20,1,baseline,0.635000,0.965000,0.330000
20,1,group_a,0.635000,0.655000,0.020000
20,1,group_c1,0.635000,0.597333,-0.037667
20,1,group_c2,0.635000,0.610000,-0.025000
20,2,baseline,0.765000,0.910000,0.145000
20,2,group_a,0.765000,0.750000,-0.015000
20,2,group_c1,0.765000,0.684500,-0.080500
20,2,group_c2,0.765000,0.685000,-0.080000
20,3,baseline,0.715000,0.935000,0.220000
20,3,group_a,0.715000,0.660000,-0.055000
20,3,group_c1,0.715000,0.654500,-0.060500
20,3,group_c2,0.715000,0.700000,-0.015000
20,4,baseline,0.755000,0.955000,0.200000
20,4,group_a,0.755000,0.775000,0.020000
20,4,group_c1,0.755000,0.721667,-0.033333
20,4,group_c2,0.755000,0.905000,0.150000
20,5,baseline,0.730000,0.955000,0.225000
20,5,group_a,0.730000,0.690000,-0.040000
20,5,group_c1,0.730000,0.578667,-0.151333
20,5,group_c2,0.730000,0.660000,-0.070000
20,6,baseline,0.800000,0.940000,0.140000
20,6,group_a,0.800000,0.755000,-0.045000
20,6,group_c1,0.800000,0.547333,-0.252667
20,6,group_c2,0.800000,0.795000,-0.005000
20,7,baseline,0.830000,0.860000,0.030000
20,7,group_a,0.830000,0.815000,-0.015000
20,7,group_c1,0.830000,0.721000,-0.109000
20,7,group_c2,0.830000,0.795000,-0.035000
20,8,baseline,0.760000,0.950000,0.190000
20,8,group_a,0.760000,0.775000,0.015000
20,8,group_c1,0.760000,0.673000,-0.087000
20,8,group_c2,0.760000,0.890000,0.130000
20,9,baseline,0.765000,0.960000,0.195000
20,9,group_a,0.765000,0.805000,0.040000
20,9,group_c1,0.765000,0.597500,-0.167500
20,9,group_c2,0.765000,0.500000,-0.265000
45,0,baseline,0.740000,0.970000,0.230000
45,0,group_a,0.740000,0.715000,-0.025000
45,0,group_c1,0.740000,0.595333,-0.144667
45,0,group_c2,0.740000,0.825000,0.085000
45,1,baseline,0.815000,0.985000,0.170000
45,1,group_a,0.815000,0.800000,-0.015000
45,1,group_c1,0.815000,0.602833,-0.212167
45,1,group_c2,0.815000,0.915000,0.100000
45,2,baseline,0.795000,0.965000,0.170000
