w1,w2,tau,seed,acc_t1,acc_t3,gain
0.0,0.2,1.0,0,0.735000,0.835000,0.100000
0.0,0.2,1.0,1,0.710000,0.890000,0.180000
0.0,0.2,1.0,2,0.660000,0.845000,0.185000
0.0,0.2,1.0,3,0.655000,0.855000,0.200000
0.0,0.2,1.0,4,0.650000,0.725000,0.075000
0.0,0.2,1.0,5,0.680000,0.835000,0.155000
0.0,0.2,1.0,6,0.530000,0.660000,0.130000
0.0,0.2,1.0,7,0.660000,0.805000,0.145000
0.0,0.2,1.0,8,0.580000,0.775000,0.195000
0.0,0.2,1.0,9,0.730000,0.955000,0.225000
0.0,0.2,1.5,0,0.715000,0.815000,0.100000
0.0,0.2,1.5,1,0.690000,0.875000,0.185000
0.0,0.2,1.5,2,0.680000,0.860000,0.180000
0.0,0.2,1.5,3,0.660000,0.825000,0.165000
0.0,0.2,1.5,4,0.690000,0.785000,0.095000
0.0,0.2,1.5,5,0.700000,0.840000,0.140000
0.0,0.2,1.5,6,0.575000,0.675000,0.100000
0.0,0.2,1.5,7,0.675000,0.835000,0.160000
0.0,0.2,1.5,8,0.585000,0.790000,0.205000
0.0,0.2,1.5,9,0.740000,0.955000,0.215000
0.0,0.2,2.0,0,0.720000,0.810000,0.090000
0.0,0.2,2.0,1,0.715000,0.895000,0.180000
0.0,0.2,2.0,2,0.660000,0.850000,0.190000
0.0,0.2,2.0,3,0.660000,0.800000,0.140000
0.0,0.2,2.0,4,0.745000,0.840000,0.095000
0.0,0.2,2.0,5,0.725000,0.850000,0.125000
0.0,0.2,2.0,6,0.600000,0.670000,0.070000
0.0,0.2,2.0,7,0.680000,0.850000,0.170000
0.0,0.2,2.0,8,0.600000,0.775000,0.175000
0.0,0.2,2.0,9,0.740000,0.960000,0.220000
0.0,0.2,3.0,0,0.730000,0.775000,0.045000
0.0,0.2,3.0,1,0.755000,0.905000,0.150000
0.0,0.2,3.0,2,0.650000,0.850000,0.200000
0.0,0.2,3.0,3,0.650000,0.780000,0.130000
0.0,0.2,3.0,4,0.770000,0.845000,0.075000
0.0,0.2,3.0,5,0.760000,0.820000,0.060000
0.0,0.2,3.0,6,0.630000,0.630000,0.000000
0.0,0.2,3.0,7,0.715000,0.830000,0.115000
0.0,0.2,3.0,8,0.605000,0.735000,0.130000
0.0,0.2,3.0,9,0.745000,0.930000,0.185000
0.1,0.2,1.0,0,0.750000,0.850000,0.100000
0.1,0.2,1.0,1,0.740000,0.885000,0.145000
0.1,0.2,1.0,2,0.665000,0.855000,0.190000
0.1,0.2,1.0,3,0.660000,0.870000,0.210000
0.1,0.2,1.0,4,0.690000,0.765000,0.075000
0.1,0.2,1.0,5,0.680000,0.840000,0.160000
0.1,0.2,1.0,6,0.585000,0.695000,0.110000
0.1,0.2,1.0,7,0.680000,0.810000,0.130000
0.1,0.2,1.0,8,0.595000,0.765000,0.170000
0.1,0.2,1.0,9,0.740000,0.950000,0.210000
0.1,0.2,1.5,0,0.760000,0.840000,0.080000
0.1,0.2,1.5,1,0.740000,0.890000,0.150000
0.1,0.2,1.5,2,0.685000,0.870000,0.185000
0.1,0.2,1.5,3,0.670000,0.835000,0.165000
0.1,0.2,1.5,4,0.745000,0.840000,0.095000
0.1,0.2,1.5,5,0.705000,0.835000,0.130000
0.1,0.2,1.5,6,0.605000,0.665000,0.060000
0.1,0.2,1.5,7,0.685000,0.850000,0.165000
0.1,0.2,1.5,8,0.590000,0.800000,0.210000
0.1,0.2,1.5,9,0.765000,0.955000,0.190000
0.1,0.2,2.0,0,0.735000,0.825000,0.090000
0.1,0.2,2.0,1,0.750000,0.900000,0.150000
0.1,0.2,2.0,2,0.670000,0.865000,0.195000
0.1,0.2,2.0,3,0.670000,0.815000,0.145000
0.1,0.2,2.0,4,0.765000,0.855000,0.090000
0.1,0.2,2.0,5,0.745000,0.860000,0.115000
0.1,0.2,2.0,6,0.625000,0.680000,0.055000
0.1,0.2,2.0,7,0.700000,0.855000,0.155000
0.1,0.2,2.0,8,0.605000,0.780000,0.175000
0.1,0.2,2.0,9,0.765000,0.960000,0.195000
0.1,0.2,3.0,0,0.760000,0.805000,0.045000
0.1,0.2,3.0,1,0.770000,0.900000,0.130000
0.1,0.2,3.0,2,0.665000,0.865000,0.200000
0.1,0.2,3.0,3,0.665000,0.795000,0.130000
0.1,0.2,3.0,4,0.780000,0.875000,0.095000
0.1,0.2,3.0,5,0.755000,0.830000,0.075000
0.1,0.2,3.0,6,0.645000,0.675000,0.030000
0.1,0.2,3.0,7,0.710000,0.845000,0.135000
0.1,0.2,3.0,8,0.635000,0.740000,0.105000
0.1,0.2,3.0,9,0.770000,0.945000,0.175000
0.2,0.2,1.0,0,0.750000,0.855000,0.105000
0.2,0.2,1.0,1,0.755000,0.895000,0.140000
0.2,0.2,1.0,2,0.675000,0.875000,0.200000
0.2,0.2,1.0,3,0.700000,0.875000,0.175000
0.2,0.2,1.0,4,0.735000,0.825000,0.090000
0.2,0.2,1.0,5,0.690000,0.845000,0.155000
0.2,0.2,1.0,6,0.610000,0.740000,0.130000
0.2,0.2,1.0,7,0.680000,0.815000,0.135000
0.2,0.2,1.0,8,0.630000,0.765000,0.135000
0.2,0.2,1.0,9,0.765000,0.960000,0.195000
0.2,0.2,1.5,0,0.770000,0.860000,0.090000
0.2,0.2,1.5,1,0.765000,0.905000,0.140000
0.2,0.2,1.5,2,0.700000,0.890000,0.190000
0.2,0.2,1.5,3,0.680000,0.845000,0.165000
0.2,0.2,1.5,4,0.755000,0.855000,0.100000
0.2,0.2,1.5,5,0.730000,0.860000,0.130000
