seed,condition,T_max,t,accuracy
0,baseline,3,1,0.735000
0,baseline,3,2,0.775000
0,baseline,3,3,0.775000
0,group_a,3,1,0.735000
0,group_a,3,2,0.735000
0,group_a,3,3,0.735000
0,group_c1,3,1,0.735000
0,group_c1,3,2,0.643833
0,group_c1,3,3,0.649500
0,group_c2,3,1,0.735000
0,group_c2,3,2,0.745000
0,group_c2,3,3,0.735000
0,baseline,5,1,0.735000
0,baseline,5,2,0.775000
0,baseline,5,3,0.775000
0,baseline,5,4,0.760000
0,baseline,5,5,0.750000
0,group_a,5,1,0.735000
0,group_a,5,2,0.735000
0,group_a,5,3,0.735000
0,group_a,5,4,0.735000
0,group_a,5,5,0.735000
0,group_c1,5,1,0.735000
0,group_c1,5,2,0.646000
0,group_c1,5,3,0.644333
0,group_c1,5,4,0.639667
0,group_c1,5,5,0.646833
0,group_c2,5,1,0.735000
0,group_c2,5,2,0.745000
0,group_c2,5,3,0.735000
0,group_c2,5,4,0.765000
0,group_c2,5,5,0.720000
0,baseline,7,1,0.735000
0,baseline,7,2,0.775000
0,baseline,7,3,0.775000
0,baseline,7,4,0.760000
0,baseline,7,5,0.750000
0,baseline,7,6,0.765000
0,baseline,7,7,0.760000
0,group_a,7,1,0.735000
0,group_a,7,2,0.735000
0,group_a,7,3,0.735000
0,group_a,7,4,0.735000
0,group_a,7,5,0.735000
0,group_a,7,6,0.735000
0,group_a,7,7,0.735000
0,group_c1,7,1,0.735000
0,group_c1,7,2,0.648833
0,group_c1,7,3,0.641333
0,group_c1,7,4,0.636000
0,group_c1,7,5,0.650000
0,group_c1,7,6,0.638833
0,group_c1,7,7,0.642500
0,group_c2,7,1,0.735000
0,group_c2,7,2,0.745000
0,group_c2,7,3,0.735000
0,group_c2,7,4,0.765000
0,group_c2,7,5,0.720000
0,group_c2,7,6,0.770000
0,group_c2,7,7,0.720000
0,baseline,10,1,0.735000
0,baseline,10,2,0.775000
0,baseline,10,3,0.775000
0,baseline,10,4,0.760000
0,baseline,10,5,0.750000
0,baseline,10,6,0.765000
0,baseline,10,7,0.760000
0,baseline,10,8,0.760000
0,baseline,10,9,0.760000
0,baseline,10,10,0.760000
0,group_a,10,1,0.735000
0,group_a,10,2,0.735000
0,group_a,10,3,0.735000
0,group_a,10,4,0.735000
0,group_a,10,5,0.735000
0,group_a,10,6,0.735000
0,group_a,10,7,0.735000
0,group_a,10,8,0.735000
0,group_a,10,9,0.735000
0,group_a,10,10,0.735000
0,group_c1,10,1,0.735000
0,group_c1,10,2,0.645667
0,group_c1,10,3,0.644333
0,group_c1,10,4,0.644833
0,group_c1,10,5,0.644333
0,group_c1,10,6,0.647333
0,group_c1,10,7,0.642833
0,group_c1,10,8,0.649000
0,group_c1,10,9,0.640667
0,group_c1,10,10,0.650167
0,group_c2,10,1,0.735000
0,group_c2,10,2,0.745000
0,group_c2,10,3,0.735000
0,group_c2,10,4,0.765000
0,group_c2,10,5,0.720000
0,group_c2,10,6,0.770000
0,group_c2,10,7,0.720000
0,group_c2,10,8,0.775000
0,group_c2,10,9,0.715000
0,group_c2,10,10,0.765000
0,baseline,15,1,0.735000
0,baseline,15,2,0.775000
0,baseline,15,3,0.775000
0,baseline,15,4,0.760000
0,baseline,15,5,0.750000
0,baseline,15,6,0.765000
0,baseline,15,7,0.760000
0,baseline,15,8,0.760000
0,baseline,15,9,0.760000
0,baseline,15,10,0.760000
0,baseline,15,11,0.760000
0,baseline,15,12,0.760000
0,baseline,15,13,0.760000
0,baseline,15,14,0.760000
0,baseline,15,15,0.760000
0,group_a,15,1,0.735000
0,group_a,15,2,0.735000
0,group_a,15,3,0.735000
0,group_a,15,4,0.735000
0,group_a,15,5,0.735000
0,group_a,15,6,0.735000
0,group_a,15,7,0.735000
0,group_a,15,8,0.735000
0,group_a,15,9,0.735000
0,group_a,15,10,0.735000
0,group_a,15,11,0.735000
0,group_a,15,12,0.735000
0,group_a,15,13,0.735000
0,group_a,15,14,0.735000
0,group_a,15,15,0.735000
0,group_c1,15,1,0.735000
0,group_c1,15,2,0.651500
0,group_c1,15,3,0.645000
0,group_c1,15,4,0.641000
0,group_c1,15,5,0.632333
0,group_c1,15,6,0.633000
0,group_c1,15,7,0.638000
0,group_c1,15,8,0.640500
0,group_c1,15,9,0.640667
0,group_c1,15,10,0.637000
0,group_c1,15,11,0.635333
0,group_c1,15,12,0.644167
0,group_c1,15,13,0.652333
0,group_c1,15,14,0.636833
0,group_c1,15,15,0.636833
0,group_c2,15,1,0.735000
0,group_c2,15,2,0.745000
0,group_c2,15,3,0.735000
0,group_c2,15,4,0.765000
0,group_c2,15,5,0.720000
0,group_c2,15,6,0.770000
0,group_c2,15,7,0.720000
0,group_c2,15,8,0.775000
0,group_c2,15,9,0.715000
0,group_c2,15,10,0.765000
0,group_c2,15,11,0.705000
0,group_c2,15,12,0.755000
0,group_c2,15,13,0.700000
0,group_c2,15,14,0.750000
0,group_c2,15,15,0.705000
0,baseline,20,1,0.735000
0,baseline,20,2,0.775000
0,baseline,20,3,0.775000
0,baseline,20,4,0.760000
0,baseline,20,5,0.750000
0,baseline,20,6,0.765000
0,baseline,20,7,0.760000
0,baseline,20,8,0.760000
0,baseline,20,9,0.760000
0,baseline,20,10,0.760000
0,baseline,20,11,0.760000
0,baseline,20,12,0.760000
0,baseline,20,13,0.760000
0,baseline,20,14,0.760000
0,baseline,20,15,0.760000
0,baseline,20,16,0.760000
0,baseline,20,17,0.760000
0,baseline,20,18,0.760000
0,baseline,20,19,0.760000
0,baseline,20,20,0.760000
0,group_a,20,1,0.735000
0,group_a,20,2,0.735000
0,group_a,20,3,0.735000
0,group_a,20,4,0.735000
0,group_a,20,5,0.735000
