seed,condition,T_max,t,accuracy
0,baseline,3,1,0.765000
0,baseline,3,2,0.850000
0,baseline,3,3,0.835000
0,group_a,3,1,0.765000
0,group_a,3,2,0.785000
0,group_a,3,3,0.775000
0,group_c1,3,1,0.765000
0,group_c1,3,2,0.671833
0,group_c1,3,3,0.626167
0,group_c2,3,1,0.765000
0,group_c2,3,2,0.730000
0,group_c2,3,3,0.690000
0,baseline,5,1,0.780000
0,baseline,5,2,0.820000
0,baseline,5,3,0.855000
0,baseline,5,4,0.860000
0,baseline,5,5,0.890000
0,group_a,5,1,0.780000
0,group_a,5,2,0.730000
0,group_a,5,3,0.780000
0,group_a,5,4,0.795000
0,group_a,5,5,0.780000
0,group_c1,5,1,0.780000
0,group_c1,5,2,0.656333
0,group_c1,5,3,0.667000
0,group_c1,5,4,0.665167
0,group_c1,5,5,0.653167
0,group_c2,5,1,0.780000
0,group_c2,5,2,0.695000
0,group_c2,5,3,0.685000
0,group_c2,5,4,0.760000
0,group_c2,5,5,0.660000
0,baseline,7,1,0.800000
0,baseline,7,2,0.855000
0,baseline,7,3,0.825000
0,baseline,7,4,0.865000
0,baseline,7,5,0.890000
0,baseline,7,6,0.890000
0,baseline,7,7,0.865000
0,group_a,7,1,0.800000
0,group_a,7,2,0.750000
0,group_a,7,3,0.735000
0,group_a,7,4,0.760000
0,group_a,7,5,0.770000
0,group_a,7,6,0.790000
0,group_a,7,7,0.770000
0,group_c1,7,1,0.800000
0,group_c1,7,2,0.653833
0,group_c1,7,3,0.592833
0,group_c1,7,4,0.623500
0,group_c1,7,5,0.646833
0,group_c1,7,6,0.606833
0,group_c1,7,7,0.626167
0,group_c2,7,1,0.800000
0,group_c2,7,2,0.720000
0,group_c2,7,3,0.635000
0,group_c2,7,4,0.675000
0,group_c2,7,5,0.685000
0,group_c2,7,6,0.680000
0,group_c2,7,7,0.660000
0,baseline,10,1,0.815000
0,baseline,10,2,0.860000
0,baseline,10,3,0.885000
0,baseline,10,4,0.895000
0,baseline,10,5,0.900000
0,baseline,10,6,0.930000
0,baseline,10,7,0.915000
0,baseline,10,8,0.915000
0,baseline,10,9,0.925000
0,baseline,10,10,0.925000
0,group_a,10,1,0.815000
0,group_a,10,2,0.755000
0,group_a,10,3,0.765000
0,group_a,10,4,0.780000
0,group_a,10,5,0.750000
0,group_a,10,6,0.845000
0,group_a,10,7,0.785000
0,group_a,10,8,0.785000
0,group_a,10,9,0.780000
0,group_a,10,10,0.765000
0,group_c1,10,1,0.815000
0,group_c1,10,2,0.642833
0,group_c1,10,3,0.662000
0,group_c1,10,4,0.640333
