task,seed,epoch,acc_t1,acc_t3,gain_baseline,gain_a,gain_c1,gain_c2
static,0,0,0.325,0.29,-0.03500000000000003,0.0,-0.020000000000000018,-0.04999999999999999
static,0,10,0.35,0.325,-0.024999999999999967,0.0,-0.019999999999999962,-0.065
static,0,25,0.345,0.345,0.0,0.0,-0.014999999999999958,-0.05499999999999999
static,0,50,0.405,0.43,0.024999999999999967,0.0,-0.020000000000000018,-0.09500000000000003
static,0,75,0.46,0.49,0.02999999999999997,0.0,-0.050000000000000044,-0.08000000000000002
static,0,100,0.495,0.5,0.0050000000000000044,0.0,-0.03999999999999998,-0.044999999999999984
static,0,150,0.59,0.57,-0.020000000000000018,0.0,-0.05499999999999994,-0.05999999999999994
static,0,200,0.64,0.61,-0.030000000000000027,0.0,-0.06000000000000005,-0.050000000000000044
static,0,300,0.735,0.685,-0.04999999999999993,0.0,-0.08499999999999996,-0.04500000000000004
static,0,400,0.8,0.78,-0.020000000000000018,0.0,-0.08500000000000008,-0.04500000000000004
static,0,500,0.84,0.815,-0.025000000000000022,0.0,-0.10499999999999998,-0.06499999999999995
static,1,0,0.205,0.19,-0.014999999999999986,0.0,0.07500000000000004,0.08499999999999999
static,1,10,0.235,0.26,0.025000000000000022,0.0,0.04999999999999999,0.08000000000000002
static,1,25,0.27,0.29,0.019999999999999962,0.0,0.044999999999999984,0.07499999999999996
static,1,50,0.355,0.395,0.040000000000000036,0.0,0.0050000000000000044,0.07500000000000001
static,1,75,0.44,0.54,0.10000000000000003,0.0,0.020000000000000018,0.09000000000000002
static,1,100,0.505,0.605,0.09999999999999998,0.0,0.0,0.06499999999999995
static,1,150,0.565,0.69,0.125,0.0,-0.029999999999999916,0.010000000000000009
static,1,200,0.64,0.73,0.08999999999999997,0.0,-0.08499999999999996,-0.0050000000000000044
static,1,300,0.65,0.785,0.135,0.0,-0.05500000000000005,0.025000000000000022
static,1,400,0.67,0.79,0.12,0.0,-0.06500000000000006,0.03499999999999992
static,1,500,0.665,0.805,0.14,0.0,-0.050000000000000044,0.07499999999999996
static,2,0,0.205,0.215,0.010000000000000009,0.0,0.010000000000000009,0.060000000000000026
static,2,10,0.185,0.23,0.04500000000000001,0.0,0.04000000000000001,0.12
static,2,25,0.21,0.25,0.04000000000000001,0.0,0.024999999999999994,0.12500000000000003
static,2,50,0.225,0.285,0.05999999999999997,0.0,0.035,0.12499999999999997
static,2,75,0.285,0.315,0.030000000000000027,0.0,-0.019999999999999962,0.07500000000000001
static,2,100,0.335,0.35,0.014999999999999958,0.0,-0.06,0.03999999999999998
static,2,150,0.42,0.43,0.010000000000000009,0.0,-0.07,0.020000000000000018
static,2,200,0.465,0.5,0.034999999999999976,0.0,-0.07500000000000001,0.065
static,2,300,0.56,0.61,0.04999999999999993,0.0,-0.04500000000000004,0.06999999999999995
static,2,400,0.635,0.72,0.08499999999999996,0.0,-0.07000000000000006,0.03500000000000003
static,2,500,0.655,0.755,0.09999999999999998,0.0,-0.07000000000000006,0.04999999999999993
static,3,0,0.245,0.2,-0.044999999999999984,0.0,0.015000000000000013,-0.14
static,3,10,0.255,0.23,-0.024999999999999994,0.0,0.010000000000000009,-0.14
static,3,25,0.285,0.3,0.015000000000000013,0.0,0.0,-0.14499999999999996
static,3,50,0.325,0.325,0.0,0.0,-0.010000000000000009,-0.16
static,3,75,0.345,0.36,0.015000000000000013,0.0,0.020000000000000018,-0.13999999999999999
static,3,100,0.385,0.385,0.0,0.0,-0.0050000000000000044,-0.17
static,3,150,0.455,0.415,-0.040000000000000036,0.0,-0.05499999999999999,-0.20500000000000002
static,3,200,0.48,0.475,-0.0050000000000000044,0.0,-0.04999999999999999,-0.21499999999999997
static,3,300,0.525,0.515,-0.010000000000000009,0.0,-0.025000000000000022,-0.18000000000000005
static,3,400,0.555,0.61,0.05499999999999994,0.0,-0.020000000000000018,-0.15000000000000002
static,3,500,0.575,0.69,0.11499999999999999,0.0,0.015000000000000013,-0.12999999999999995
static,4,0,0.11,0.14,0.030000000000000013,0.0,0.06000000000000001,0.0050000000000000044
static,4,10,0.125,0.15,0.024999999999999994,0.0,0.04000000000000001,0.0050000000000000044
static,4,25,0.175,0.2,0.025000000000000022,0.0,0.04000000000000001,-0.01999999999999999
static,4,50,0.23,0.28,0.05000000000000002,0.0,0.01999999999999999,-0.020000000000000018
static,4,75,0.26,0.345,0.08499999999999996,0.0,0.015000000000000013,0.0
static,4,100,0.345,0.41,0.065,0.0,0.0050000000000000044,-0.019999999999999962
static,4,150,0.505,0.53,0.025000000000000022,0.0,-0.03500000000000003,-0.09000000000000002
static,4,200,0.58,0.635,0.05500000000000005,0.0,-0.04999999999999993,-0.07999999999999996
static,4,300,0.705,0.705,0.0,0.0,-0.05499999999999994,-0.09499999999999997
static,4,400,0.745,0.77,0.025000000000000022,0.0,-0.06999999999999995,-0.12
static,4,500,0.725,0.775,0.050000000000000044,0.0,-0.010000000000000009,-0.09999999999999998
static,5,0,0.18,0.135,-0.044999999999999984,0.0,-0.014999999999999986,0.07500000000000001
static,5,10,0.2,0.15,-0.05000000000000002,0.0,0.009999999999999981,0.08499999999999996
static,5,25,0.255,0.21,-0.04500000000000001,0.0,-0.010000000000000009,0.065
static,5,50,0.305,0.255,-0.04999999999999999,0.0,-0.015000000000000013,0.044999999999999984
static,5,75,0.365,0.34,-0.024999999999999967,0.0,-0.0050000000000000044,0.0050000000000000044
static,5,100,0.395,0.395,0.0,0.0,-0.025000000000000022,-0.0050000000000000044
static,5,150,0.44,0.49,0.04999999999999999,0.0,0.010000000000000009,-0.015000000000000013
static,5,200,0.485,0.515,0.030000000000000027,0.0,0.0050000000000000044,-0.034999999999999976
static,5,300,0.565,0.595,0.030000000000000027,0.0,0.0,-0.04999999999999993
static,5,400,0.635,0.68,0.04500000000000004,0.0,0.0,-0.04500000000000004
static,5,500,0.695,0.735,0.040000000000000036,0.0,-0.019999999999999907,0.0050000000000000044
static,6,0,0.27,0.285,0.014999999999999958,0.0,0.044999999999999984,-0.025000000000000022
static,6,10,0.305,0.295,-0.010000000000000009,0.0,0.0050000000000000044,-0.06
static,6,25,0.315,0.28,-0.034999999999999976,0.0,0.015000000000000013,-0.065
