seed_model,group,seed_ablation,noise_level,acc_t1,acc_t2,acc_t3,gain,ece,r_norm,delta_norm
0,Baseline,0,0.1,1.000000,1.000000,1.000000,0.000000,0.215532,2.326854,1.251913
0,A,0,0.1,1.000000,1.000000,1.000000,0.000000,0.373435,0.000000,0.473893
0,C1,avg30,0.1,1.000000,0.000000,0.839833,-0.160167,0.000000,0.000000,0.000000
0,C2,0,0.1,1.000000,0.995000,0.945000,-0.055000,0.391618,1.757369,0.956834
0,Baseline,0,0.2,0.995000,0.995000,0.990000,-0.005000,0.213521,2.319567,1.471699
0,A,0,0.2,0.995000,1.000000,0.995000,0.000000,0.391067,0.000000,0.983859
0,C1,avg30,0.2,0.995000,0.000000,0.797167,-0.197833,0.000000,0.000000,0.000000
0,C2,0,0.2,0.995000,0.930000,0.890000,-0.105000,0.332391,1.749686,1.321565
0,Baseline,0,0.3,0.965000,0.965000,0.960000,-0.005000,0.199991,2.312527,1.746542
0,A,0,0.3,0.965000,0.970000,0.920000,-0.045000,0.344892,0.000000,1.502787
0,C1,avg30,0.3,0.965000,0.000000,0.735500,-0.229500,0.000000,0.000000,0.000000
0,C2,0,0.3,0.965000,0.870000,0.830000,-0.135000,0.261586,1.742486,1.765590
0,Baseline,0,0.5,0.795000,0.845000,0.865000,0.070000,0.158168,2.366589,2.426076
0,A,0,0.5,0.795000,0.780000,0.760000,-0.035000,0.211653,0.000000,2.477107
0,C1,avg30,0.5,0.795000,0.000000,0.607667,-0.187333,0.000000,0.000000,0.000000
0,C2,0,0.5,0.795000,0.715000,0.680000,-0.115000,0.138563,1.797916,2.677182
0,Baseline,0,0.7,0.645000,0.695000,0.690000,0.045000,0.049444,2.498566,3.171198
0,A,0,0.7,0.645000,0.600000,0.565000,-0.080000,0.054278,0.000000,3.371031
0,C1,avg30,0.7,0.645000,0.000000,0.509500,-0.135500,0.000000,0.000000,0.000000
0,C2,0,0.7,0.645000,0.560000,0.575000,-0.070000,0.101398,1.913965,3.535440
0,Baseline,0,1.0,0.490000,0.520000,0.580000,0.090000,0.159852,2.716968,4.344797
0,A,0,1.0,0.490000,0.460000,0.450000,-0.040000,0.180296,0.000000,4.638429
0,C1,avg30,1.0,0.490000,0.000000,0.425333,-0.064667,0.000000,0.000000,0.000000
0,C2,0,1.0,0.490000,0.475000,0.430000,-0.060000,0.192161,2.120350,4.728476
1,Baseline,0,0.1,0.995000,1.000000,1.000000,0.005000,0.038991,3.109117,2.328723
1,A,0,0.1,0.995000,1.000000,0.995000,0.000000,0.305574,0.000000,0.534507
1,C1,avg30,0.1,0.995000,0.000000,0.667500,-0.327500,0.000000,0.000000,0.000000
1,C2,0,0.1,0.995000,1.000000,1.000000,0.005000,0.227591,1.290716,1.128539
1,Baseline,0,0.2,0.935000,1.000000,0.995000,0.060000,0.052641,3.095378,2.434599
1,A,0,0.2,0.935000,0.960000,0.945000,0.010000,0.266842,0.000000,1.105783
1,C1,avg30,0.2,0.935000,0.000000,0.652333,-0.282667,0.000000,0.000000,0.000000
1,C2,0,0.2,0.935000,0.960000,0.980000,0.045000,0.226494,1.324692,1.586799
1,Baseline,0,0.3,0.880000,0.985000,0.990000,0.110000,0.064205,3.073372,2.660998
1,A,0,0.3,0.880000,0.895000,0.850000,-0.030000,0.178105,0.000000,1.713550
1,C1,avg30,0.3,0.880000,0.000000,0.625167,-0.254833,0.000000,0.000000,0.000000
1,C2,0,0.3,0.880000,0.900000,0.910000,0.030000,0.181527,1.355800,2.103565
1,Baseline,0,0.5,0.760000,0.905000,0.940000,0.180000,0.079657,3.010964,3.309670
1,A,0,0.5,0.760000,0.795000,0.695000,-0.065000,0.048291,0.000000,2.933605
1,C1,avg30,0.5,0.760000,0.000000,0.546500,-0.213500,0.000000,0.000000,0.000000
1,C2,0,0.5,0.760000,0.780000,0.745000,-0.015000,0.051246,1.426785,3.230691
1,Baseline,0,0.7,0.650000,0.795000,0.790000,0.140000,0.055410,2.962430,4.063830
1,A,0,0.7,0.650000,0.690000,0.600000,-0.050000,0.079973,0.000000,4.095671
1,C1,avg30,0.7,0.650000,0.000000,0.481667,-0.168333,0.000000,0.000000,0.000000
1,C2,0,0.7,0.650000,0.645000,0.585000,-0.065000,0.125528,1.541699,4.375715
1,Baseline,0,1.0,0.530000,0.600000,0.610000,0.080000,0.183740,2.979173,5.339896
1,A,0,1.0,0.530000,0.570000,0.475000,-0.055000,0.233098,0.000000,5.640999
1,C1,avg30,1.0,0.530000,0.000000,0.416000,-0.114000,0.000000,0.000000,0.000000
1,C2,0,1.0,0.530000,0.495000,0.465000,-0.065000,0.270746,1.741481,5.945232
2,Baseline,0,0.1,1.000000,1.000000,1.000000,0.000000,0.118735,3.111395,2.746512
2,A,0,0.1,1.000000,0.980000,0.985000,-0.015000,0.426229,0.000000,0.701081
2,C1,avg30,0.1,1.000000,0.000000,0.684167,-0.315833,0.000000,0.000000,0.000000
2,C2,0,0.1,1.000000,1.000000,1.000000,0.000000,0.237498,1.824517,1.301545
2,Baseline,0,0.2,0.905000,1.000000,0.995000,0.090000,0.125161,3.103983,2.915488
2,A,0,0.2,0.905000,0.920000,0.900000,-0.005000,0.349271,0.000000,1.369842
2,C1,avg30,0.2,0.905000,0.000000,0.662167,-0.242833,0.000000,0.000000,0.000000
2,C2,0,0.2,0.905000,1.000000,1.000000,0.095000,0.259269,1.830797,1.746132
2,Baseline,0,0.3,0.830000,0.985000,0.985000,0.155000,0.139140,3.095872,3.196346
2,A,0,0.3,0.830000,0.810000,0.785000,-0.045000,0.229942,0.000000,2.002919
2,C1,avg30,0.3,0.830000,0.000000,0.633667,-0.196333,0.000000,0.000000,0.000000
2,C2,0,0.3,0.830000,0.945000,0.945000,0.115000,0.248614,1.848793,2.264330
2,Baseline,0,0.5,0.660000,0.855000,0.895000,0.235000,0.127768,3.084341,3.930578
2,A,0,0.5,0.660000,0.635000,0.630000,-0.030000,0.107274,0.000000,3.203722
2,C1,avg30,0.5,0.660000,0.000000,0.555167,-0.104833,0.000000,0.000000,0.000000
2,C2,0,0.5,0.660000,0.745000,0.825000,0.165000,0.159596,1.973471,3.381712
2,Baseline,0,0.7,0.535000,0.715000,0.755000,0.220000,0.056285,3.139552,4.790448
2,A,0,0.7,0.535000,0.520000,0.505000,-0.030000,0.122675,0.000000,4.332690
2,C1,avg30,0.7,0.535000,0.000000,0.479000,-0.056000,0.000000,0.000000,0.000000
2,C2,0,0.7,0.535000,0.645000,0.660000,0.125000,0.111014,2.154169,4.561427
2,Baseline,0,1.0,0.425000,0.590000,0.580000,0.155000,0.143189,3.307528,6.286367
2,A,0,1.0,0.425000,0.470000,0.405000,-0.020000,0.240403,0.000000,5.996617
2,C1,avg30,1.0,0.425000,0.000000,0.408000,-0.017000,0.000000,0.000000,0.000000
2,C2,0,1.0,0.425000,0.520000,0.470000,0.045000,0.216963,2.429698,6.294186
3,Baseline,0,0.1,0.855000,0.855000,0.855000,0.000000,0.157707,3.118159,2.172246
3,A,0,0.1,0.855000,0.855000,0.855000,0.000000,0.262260,0.000000,0.617335
3,C1,avg30,0.1,0.855000,0.000000,0.761167,-0.093833,0.000000,0.000000,0.000000
3,C2,0,0.1,0.855000,0.805000,0.690000,-0.165000,0.177317,2.337698,1.211160
3,Baseline,0,0.2,0.850000,0.875000,0.855000,0.005000,0.162793,3.170960,2.369348
3,A,0,0.2,0.850000,0.850000,0.845000,-0.005000,0.207496,0.000000,1.222413
