seed,condition,acc_t1,acc_t3,gain
0,self_current,0.84,0.815,-0.025000000000000022
0,self_wrong_trial,0.84,0.85,0.010000000000000009
0,clone_current,0.84,0.775,-0.06499999999999995
0,group_a,0.84,0.84,0.0
1,self_current,0.665,0.805,0.14
1,self_wrong_trial,0.665,0.835,0.16999999999999993
1,clone_current,0.665,0.74,0.07499999999999996
1,group_a,0.665,0.665,0.0
2,self_current,0.655,0.755,0.09999999999999998
2,self_wrong_trial,0.655,0.78,0.125
2,clone_current,0.655,0.705,0.04999999999999993
2,group_a,0.655,0.655,0.0
3,self_current,0.575,0.69,0.11499999999999999
3,self_wrong_trial,0.575,0.67,0.09500000000000008
3,clone_current,0.575,0.445,-0.12999999999999995
3,group_a,0.575,0.575,0.0
4,self_current,0.725,0.775,0.050000000000000044
4,self_wrong_trial,0.7286432160804021,0.7889447236180904,0.06030150753768837
4,clone_current,0.725,0.625,-0.09999999999999998
4,group_a,0.725,0.725,0.0
5,self_current,0.695,0.735,0.040000000000000036
5,self_wrong_trial,0.695,0.72,0.025000000000000022
5,clone_current,0.695,0.7,0.0050000000000000044
5,group_a,0.695,0.695,0.0
6,self_current,0.665,0.63,-0.03500000000000003
6,self_wrong_trial,0.665,0.615,-0.050000000000000044
6,clone_current,0.665,0.65,-0.015000000000000013
6,group_a,0.665,0.665,0.0
7,self_current,0.735,0.79,0.05500000000000005
7,self_wrong_trial,0.7386934673366834,0.8090452261306532,0.07035175879396982
7,clone_current,0.735,0.685,-0.04999999999999993
7,group_a,0.735,0.735,0.0
8,self_current,0.625,0.7,0.07499999999999996
8,self_wrong_trial,0.628140703517588,0.7185929648241206,0.09045226130653261
8,clone_current,0.625,0.615,-0.010000000000000009
8,group_a,0.625,0.625,0.0
9,self_current,0.76,0.775,0.015000000000000013
9,self_wrong_trial,0.76,0.77,0.010000000000000009
9,clone_current,0.76,0.615,-0.14500000000000002
9,group_a,0.76,0.76,0.0
