seed,condition,acc_t1,acc_t3,gain
0,self_current,0.795,0.865,0.06999999999999995
0,self_wrong_trial,0.795,0.85,0.05499999999999994
0,clone_current,0.795,0.68,-0.11499999999999999
0,group_a,0.795,0.76,-0.03500000000000003
1,self_current,0.76,0.94,0.17999999999999994
1,self_wrong_trial,0.76,0.89,0.13
1,clone_current,0.76,0.745,-0.015000000000000013
1,group_a,0.76,0.695,-0.06500000000000006
2,self_current,0.66,0.895,0.235
2,self_wrong_trial,0.66,0.88,0.21999999999999997
2,clone_current,0.66,0.825,0.16499999999999992
2,group_a,0.66,0.63,-0.030000000000000027
3,self_current,0.665,0.755,0.08999999999999997
3,self_wrong_trial,0.665,0.72,0.05499999999999994
3,clone_current,0.665,0.555,-0.10999999999999999
3,group_a,0.665,0.655,-0.010000000000000009
4,self_current,0.715,0.885,0.17000000000000004
4,self_wrong_trial,0.715,0.885,0.17000000000000004
4,clone_current,0.715,0.695,-0.020000000000000018
4,group_a,0.715,0.76,0.04500000000000004
5,self_current,0.665,0.85,0.18499999999999994
5,self_wrong_trial,0.665,0.87,0.20499999999999996
5,clone_current,0.665,0.835,0.16999999999999993
5,group_a,0.665,0.76,0.09499999999999997
6,self_current,0.56,0.7,0.1399999999999999
6,self_wrong_trial,0.56,0.675,0.11499999999999999
6,clone_current,0.56,0.465,-0.09500000000000003
6,group_a,0.56,0.61,0.04999999999999993
7,self_current,0.725,0.85,0.125
7,self_wrong_trial,0.725,0.875,0.15000000000000002
7,clone_current,0.725,0.635,-0.08999999999999997
7,group_a,0.725,0.73,0.0050000000000000044
8,self_current,0.605,0.74,0.135
8,self_wrong_trial,0.605,0.725,0.12
8,clone_current,0.605,0.55,-0.05499999999999994
8,group_a,0.605,0.6,-0.0050000000000000044
9,self_current,0.705,0.88,0.17500000000000004
9,self_wrong_trial,0.705,0.865,0.16000000000000003
9,clone_current,0.705,0.695,-0.010000000000000009
9,group_a,0.705,0.735,0.030000000000000027
